INDEX,NAME,루테인(mg),비타민A(ug),비타민D(ug),비타민E(mg),비타민K(ug),비타민C(mg),비타민B2(mg),아연(mg),셀렌(ug),철(mg),마그네슘(mg),EPA(mg),프로바이오틱스(CFU),실리마린(mg),나이아신(mg),올리고당(g),칼슘(mg),비타민B6(mg),베타카로틴(mg),판토텐산(mg),비오틴(ug),망간(mg),크롬(ug),엽산(ug),구리(mg),몰리브덴(ug)
42,양상추,0,0,0,0,0,0,0.0602409639,0,0,0.22296544,0,0,0,0,0.14266692,0,0.078369906,0,0.0285254535,0,0,0,0,0,0,0
43,연근,0,0,0,0.0275259067,0,1.544959128,0.373493976,0.182926829,0.0316135559,0.445930881,0.343283582,0,0,0,0.0646756705,0,0.146290491,0,0,0.117655347,0.214547677,0.16343366,0,0.0274079875,0.341269841,0.0573179374
44,콜라비,0,0,0,0.00890544041,0,0,0.105421687,0.160060976,0.0392008093,0.150501672,0.208955224,0,0,0,0.0680045653,0,0.219435737,0,0.0043885313,0.281809215,0,0.0104411156,0,0.0469851214,0.00529100529,0.102130143
45,파프리카,0,0,0,0.130343264,0.0383338878,5,0.445783133,0.198170732,0.0354071826,0.206243032,0.149253731,0,0,0,0.440840784,0,0.0313479624,0,0.123610298,0,0,0.00906047218,0,0.176194205,0.14021164,0.103380716
46,호박,0,0,0,0.318976684,0,0.661035422,0.409638554,0.449695122,0.0575366717,0.200668896,0.253731343,0,0,0,0.2377782,0,0.0626959248,0,1.342159157,0.253980555,0,0.00422822035,0,0.0743931088,0.14021164,0.0931677019
47,귤,0,0,0,0.0315738342,0,1.672479564,0.0722891566,0.129573171,0.0227617602,0.0668896321,0.134328358,0,0,0,0.17833365,0,0.0679205852,0.129466598,0.019016969,0.054952797,0.0152811736,0.00698950711,0,0.0822239624,0.0555555556,0.00812872567
48,딸기,0,0,0,0.0323834197,0,3.657220708,0.186746988,0.160060976,0.0271876581,0.183946488,0.194029851,0,0,0,0.19022256,0,0.0888192268,0,0.00329139848,0.0440326899,0,0.0137201436,0,0.211433046,0.322751323,0.134019759
49,레몬,0,0,0,0.0485751295,0,2.83760218,0.192771084,0.0990853659,0.240895296,0.0557413601,0.119402985,0,0,0,0.258702682,0,0.167189133,0,0,0.0778497957,0,0.00163951401,0,0.156617071,0.0899470899,0.00854558339
50,망고,0,0,0,0.0137629534,0,0.809264305,0.162650602,0.106707317,0.0309812848,0.100334448,0.179104478,0,0,0,0.142191364,0,0.0365726228,0,0.509069631,0,0,0.0221765843,0,0.0548159749,0.259259259,0.0102130143
51,바나나,0,0,0,0.0113341969,0,0.323705722,0.225903614,0.144817073,0.0170713202,0.161649944,0.417910448,0,0,0,0.234449306,0,0.0365726228,0,0.00914277355,0,0,0.0114765981,0,0.0939702428,0.224867725,0.129017466
52,블루베리,0,0,0,0.0939119171,0.100186447,0,0.394578313,0.0609756098,0.0518462317,0.128205128,0.0895522388,0,0,0,0.150751379,0,0.0470219436,0,0.00950848449,0,0.205378973,0.0437491371,0,0.0626468285,0.0873015873,0.0131310184
53,오렌지,0,0,0,0.0170012953,0,2.752588556,0.093373494,0.0838414634,0.103060192,0.0780379041,0.134328358,0,0,0,0.173578086,0,0.188087774,0.134645262,0.0043885313,0.0598844582,0.0464547677,0.00172580422,0,0.10963195,0.103174603,0.00896244112
54,피클,0,0,0,0.246923575,0,0.0136239782,0,0.0304878049,0.316135559,0.429208473,0.253731343,0,0,0,0.23254708,0,0.78892372,0,0.0899648917,0,0,0.00396934972,0,0.0156617071,0.148148148,0.0404351995
55,자두,0,0,0,0,0,0.272479564,0.0903614458,0,0,0.11148272,0,0,0,0,0.14266692,0,0.0156739812,0,0,0,0,0,0,0,0,0
56,키위,0,0,0,0.127104922,0.0434399152,4.955858311,0.156626506,0.0457317073,0.0973697521,0.958751394,0.194029851,0,0,0,0.0565912117,0,0.0992685475,0,0.0168227033,0.0799633648,0,0.00241612591,0,0.125293657,0.288359788,0.0114635875
57,파인애플,0,0,0,0,0,2.475749319,0.262048193,0.0838414634,0.691704603,0.0501672241,0.253731343,0,0,0,0.0651512269,0,0.0835945664,0,0.0226740784,0,0.209046455,0.313406047,0,0.090054816,0.285714286,0.0921255575
58,메추리알,0,0,0.143704086,0.112532383,0.028199197,0,0.93373494,1.288109756,2.262898331,1.46599777,0.149253731,0,0,0,0.0613467757,0,0.318704284,0.165717245,0.000365710942,0.747851205,0.708435208,0.00353789866,0,0.360219264,0.169312169,0.132769186
59,홍합(보류),0,0,0,0,0,0.217983651,0.993975904,0,0,3.400222965,0,0,0,0,1.188891002,0,0.224660397,0,0,0,0,0,0,0,0,0
60,들기름,0,0,0,5,0,0,0.186746988,0.426829268,0,2.998885173,0.805970149,0,0,0,0,0,0.39184953,0,0.0215769456,0.19022122,0.236552567,0.0824934419,0,0,0.439153439,0
61,마가린,0,0,0,0.459034974,0.0285473352,0,0.0301204819,0,0.499494183,0,0,0,0,0,0,0,0.104493208,0,0.0552223523,0,0.00855745721,0.000517741267,0,0,0,0.0506482138
62,버터,0,0,0,0.0647668394,0,0,0.138554217,0.0533536585,0,0.016722408,0,0,0,0,0,0,0.0835945664,0,0.00841135167,0,0,0,0,0,0.0105820106,0.0268873234
63,올리브유,0,0,0,0.907545337,0.222266921,0,0,0,0.153641882,0,0,0,0,0,0,0,0,0,0.0259654769,0,0,0.000517741267,0,0,0,0.201133853
64,녹차,0,0,0,1.692033679,5,0,5,2.256097561,0.509610521,5,3.552238806,0,0,0,1.428571429,0,1.776384535,0,5,0,0.636308068,5,0,5,1.997354497,0.0719079578
65,보리차,0,0,0,0.798251295,0,0,2.756024096,3.856707317,0.142261002,4.386845039,2.194029851,0,0,0,0.535476508,0,0.339602926,0,0,0,0,0.236003728,0,0.160532498,1.164021164,0.364333653
66,헛개차,0,0,0,0.00485751295,0,0.170027248,0.00301204819,0.0152439024,0,0.00557413601,0,0,0,0,0,0,0.0052246604,0,0,0,0,0.000776611901,0,0,0.00793650794,0
67,녹즙,0,0,0,0.0170012953,0.609744776,0.177656676,0.25,0.0838414634,0.021497218,0.133779264,0.268656716,0,0,0,0.0209244816,0,0.496342738,0,0.467378584,0.0500211357,0,0.0126846611,0,0.0548159749,0.0476190476,0.182166826
68,된장,0,0,0,0.270401554,0,0.228882834,0.397590361,0.990853659,4.377212949,1.209587514,1.029850746,0,0,0,0.541658741,0,0.480668757,0,0.0713136337,0.986332253,0,0.0707579732,0,0.348472984,0.664021164,1.700571095
69,카레,0,0,0,0.280926166,0,0,0.313253012,0.50304878,5,1.125975474,0.731343284,0,0,0,0.63819669,0,0.438871473,0.186431901,0.0138970158,0.397350993,0.0556234719,0.0873256938,0,0.195771339,0.420634921,0.266580516
70,목이버섯,0,0,0.596726382,0,0,0,3.530120482,1.768292683,0.347116844,4.024526198,3.701492537,0,0,0,0.954441697,0,3.145245559,0.561885034,0,1.216711286,0.0226161369,1.770157393,0,0.434612373,0.542328042,0.153820501
71,상황버섯,0,0,0,0,0,0,0,0.00762195122,0.0196004047,0.02787068,0.0298507463,0,0,0,0.125071333,0,0.0052246604,0.0621439669,0,0,0,0.00241612591,0,0.0313234143,0.0185185185,0.00166743091
